ID_Produto,Nome_Produto,Categoria,Preço_Unitario,Estoque_Disponivel
82,Odit,Vestidos,2171.2,614
83,Laborum,Calças,1802.85,3569
84,Fugiat,Camisetas,190.71,412
85,Nihil,Acessórios,2880.59,1225
86,Distinctio,Acessórios,1801.58,4400
87,Molestiae,Camisetas,377.87,1034
88,Suscipit,Camisetas,599.2,4926
89,Eligendi,Acessórios,1140.57,4399
90,Alias,Camisetas,1251.32,733
91,Temporibus,Camisetas,2875.14,1847
92,Omnis,Vestidos,2659.14,2458
93,Incidunt,Calças,1022.86,305
94,Iure,Vestidos,34.97,3840
95,Est,Calças,2141.76,2673
96,Eaque,Calças,853.44,1833
97,Eius,Calças,1282.38,219
98,Aliquam,Calças,1133.89,823
99,Illo,Acessórios,1488.77,4260
100,Ratione,Camisetas,1266.78,3548
101,Natus,Acessórios,666.87,2115
102,Occaecati,Camisetas,1159.76,3841
103,Blanditiis,Camisetas,2135.76,3507
104,Nesciunt,Calças,2118.0,1180
105,Illum,Acessórios,427.73,471
106,Sunt,Camisetas,123.01,4370
107,Nihil,Calças,1980.47,2532
108,Laborum,Acessórios,2521.4,4096
109,Voluptas,Acessórios,1331.04,4402
110,Magnam,Acessórios,1693.03,277
111,Unde,Camisetas,1940.65,2524
112,Possimus,Vestidos,2310.35,741
113,Ipsam,Acessórios,1827.56,1782
114,Perspiciatis,Acessórios,1351.96,389
115,Perferendis,Acessórios,722.0,3030
116,Magnam,Vestidos,33.71,1365
117,Molestias,Acessórios,785.25,4958
118,Occaecati,Acessórios,1217.54,4786
119,Qui,Calças,1153.11,2950
120,Facilis,Camisetas,1661.9,2096
121,Quasi,Acessórios,1807.49,2436
122,Quam,Camisetas,169.89,2784
123,Sint,Calças,2515.73,4216
124,Rem,Vestidos,827.44,4695
125,Error,Acessórios,2486.37,2028
126,Temporibus,Vestidos,909.61,1848
127,Cum,Vestidos,228.91,4694
128,Sapiente,Calças,1259.74,3001
129,Quo,Calças,2459.51,4117
130,Expedita,Calças,1548.67,1755
131,Laudantium,Camisetas,2826.91,4290
132,Reprehenderit,Calças,2863.01,2388
133,Nemo,Camisetas,2244.24,4576
134,Accusantium,Calças,2568.91,14
135,Tenetur,Calças,1577.22,517
136,Doloribus,Calças,2731.33,4357
137,Et,Calças,2793.69,3387
138,Nam,Vestidos,178.38,3302
139,Molestias,Acessórios,2570.34,4914
140,Harum,Calças,1409.7,3969
141,Ab,Calças,1356.18,4577
142,Quibusdam,Calças,2293.38,292
143,Amet,Camisetas,560.62,4225
144,Saepe,Camisetas,970.68,4777
145,Modi,Acessórios,2212.45,2264
146,Minus,Calças,429.66,4760
147,Doloribus,Camisetas,2565.54,1960
148,Beatae,Acessórios,559.01,3653
149,Quod,Acessórios,271.29,2714
150,Beatae,Acessórios,2314.01,3251
151,Quidem,Camisetas,1090.25,3244
152,Sapiente,Camisetas,386.49,3380
153,Eos,Acessórios,2695.21,1733
154,Distinctio,Camisetas,1353.05,1910
155,Modi,Camisetas,1417.3,1874
156,Numquam,Calças,359.02,4583
157,Excepturi,Vestidos,2379.52,4288
158,Voluptatibus,Camisetas,544.67,4167
159,Reprehenderit,Calças,1756.84,181
160,Rerum,Acessórios,2320.24,3679
161,Tenetur,Acessórios,1373.97,2455
162,Error,Vestidos,922.9,4610
163,Corporis,Acessórios,890.52,3045
164,Iure,Acessórios,986.46,2550
165,Tenetur,Acessórios,190.07,3907
166,Tempore,Vestidos,2005.6,3777
167,Atque,Camisetas,622.84,50
168,Dolores,Calças,1534.67,4924
169,Dolorum,Calças,1430.66,43
170,Repudiandae,Calças,547.09,1927
171,Aspernatur,Camisetas,1690.1,907
172,Cum,Vestidos,2054.03,3543
173,Eligendi,Calças,718.94,316
174,Recusandae,Camisetas,1570.97,3613
175,Possimus,Camisetas,190.31,4216
176,Reiciendis,Camisetas,821.34,4275
177,Culpa,Acessórios,881.38,1539
178,Facere,Calças,2850.59,3229
179,Deserunt,Calças,457.09,4424
180,Esse,Acessórios,1646.37,4033
181,Commodi,Vestidos,2638.82,1899
182,Consequuntur,Camisetas,2801.01,293
183,Accusamus,Vestidos,156.05,4355
184,Dolor,Vestidos,1443.2,3318
185,Vitae,Vestidos,1209.91,4414
186,Hic,Camisetas,615.48,4313
187,Dolor,Vestidos,2837.56,911
188,Doloremque,Acessórios,2009.09,3578
189,Ab,Camisetas,2601.11,1203
190,Nam,Calças,279.62,1966
191,Tempore,Camisetas,817.19,2758
192,Veniam,Camisetas,1881.49,4320
193,Tempore,Vestidos,2566.37,1936
194,Unde,Vestidos,190.98,3914
195,Magni,Camisetas,135.29,51
196,Eius,Calças,896.77,4584
197,Corporis,Vestidos,1311.78,3651
198,Facere,Acessórios,2755.97,571
199,Voluptatibus,Vestidos,898.19,3750
200,Quam,Calças,1749.52,4012
201,Iste,Calças,167.37,697
202,Officiis,Calças,1162.98,1683
203,Itaque,Calças,839.61,3298
204,Repellendus,Vestidos,1269.08,3068
205,A,Vestidos,1784.72,1141
206,Voluptatem,Camisetas,216.43,1474
207,Perspiciatis,Acessórios,268.59,2924
208,Odit,Calças,1370.79,2247
209,Odit,Vestidos,1053.29,1854
210,Natus,Acessórios,759.72,2855
211,Quis,Vestidos,929.47,269
212,Cum,Acessórios,545.54,2191
213,Rerum,Acessórios,1229.52,3592
214,Eius,Calças,1848.8,2599
215,Suscipit,Acessórios,984.11,3332
216,Porro,Acessórios,2142.29,899
217,Sapiente,Calças,1571.69,4457
218,Eius,Camisetas,1006.77,2414
219,Eaque,Vestidos,1446.33,2822
220,Incidunt,Vestidos,1695.16,1619
221,Tempore,Calças,345.24,4618
222,Laborum,Acessórios,1187.12,3388
223,Iste,Camisetas,896.92,4246
224,Voluptatem,Acessórios,814.82,943
225,Natus,Calças,688.67,4667
226,Quia,Camisetas,914.09,1610
227,Sunt,Calças,2894.27,1965
228,Error,Calças,954.42,4737
229,Corporis,Acessórios,1407.97,1881
230,Iusto,Vestidos,824.12,608
231,In,Camisetas,1437.94,1816
232,Consequatur,Calças,2294.76,3886
233,Sapiente,Camisetas,2630.49,3716
234,Aut,Calças,2516.49,4921
235,Itaque,Calças,2625.16,4317
236,Rerum,Camisetas,1453.69,69
237,Facere,Vestidos,1362.45,35
238,Maiores,Acessórios,2319.53,1535
239,Molestias,Acessórios,2056.52,4144
240,Alias,Calças,2542.29,861
241,Illo,Calças,232.56,4561
242,Voluptas,Acessórios,339.59,4859
243,Modi,Vestidos,822.93,1341
244,Corrupti,Calças,505.23,4374
245,Delectus,Camisetas,1239.71,2577
246,Accusamus,Acessórios,1957.75,2159
247,Esse,Calças,1171.47,3216
248,Excepturi,Vestidos,1456.59,4443
249,Nulla,Camisetas,2623.94,3887
250,Deleniti,Calças,2063.0,3559
251,Sed,Vestidos,1291.21,2037
252,Animi,Acessórios,745.34,416
253,Pariatur,Calças,463.22,4757
254,Eaque,Camisetas,2408.86,2974
255,Eligendi,Vestidos,614.41,4979
256,Veniam,Camisetas,1141.21,726
257,Ad,Acessórios,591.46,4195
258,A,Calças,817.14,855
259,Nisi,Calças,1613.9,4332
260,Minima,Camisetas,1202.52,2753
261,Iure,Vestidos,763.53,4323
262,Aperiam,Vestidos,411.79,4704
263,Perspiciatis,Camisetas,568.42,2100
264,Ad,Camisetas,636.75,3688
265,Reiciendis,Camisetas,972.55,1703
266,Corrupti,Acessórios,1746.73,76
267,Ad,Acessórios,1203.63,3940
268,Provident,Calças,1584.83,1613
269,Non,Acessórios,2272.58,3532
270,Commodi,Camisetas,2128.57,2448
271,Minima,Calças,2404.4,947
272,Occaecati,Calças,1749.02,310
273,Totam,Vestidos,1904.22,40
274,Rerum,Calças,1212.11,3118
275,Itaque,Camisetas,1083.82,1325
276,Veritatis,Acessórios,2050.34,509
277,Debitis,Camisetas,693.07,3379
278,Qui,Acessórios,956.28,2958
279,Adipisci,Acessórios,294.83,1125
280,Quis,Camisetas,1192.76,4054
281,Repellendus,Vestidos,959.07,3883
282,Asperiores,Camisetas,1753.71,3155
283,Impedit,Calças,2586.05,2464
284,Dolorem,Calças,256.28,2275
285,Enim,Vestidos,2572.66,4243
286,Praesentium,Acessórios,2315.59,1599
287,Maxime,Acessórios,2052.75,3996
288,Adipisci,Calças,601.15,1794
289,Nesciunt,Acessórios,1120.8,324
290,Eveniet,Calças,299.82,3684
291,Voluptatibus,Acessórios,2098.15,1339
292,Nisi,Camisetas,1606.08,1734
293,Sit,Vestidos,2683.61,375
294,Rerum,Calças,53.89,806
295,Et,Acessórios,2344.15,2402
296,Officiis,Vestidos,625.4,4143
297,Dolore,Camisetas,823.87,1548
298,Maxime,Vestidos,2762.1,1131
299,Tempore,Vestidos,740.37,3551
300,Tempora,Vestidos,807.67,3690
301,Ullam,Camisetas,2513.28,3491
302,Accusantium,Camisetas,811.62,2650
303,Molestias,Acessórios,1311.39,2007
304,Sint,Vestidos,1751.7,1968
305,Nulla,Calças,312.12,4502
306,At,Calças,2754.1,4198
307,Maiores,Acessórios,1211.99,1114
308,Id,Camisetas,1290.87,2681
309,Incidunt,Calças,347.98,2101
310,Esse,Calças,924.74,2204
311,Dolores,Vestidos,1079.1,3102
312,Quisquam,Camisetas,1376.32,3364
313,Dolor,Acessórios,2335.22,4144
314,Quos,Vestidos,317.1,307
315,Explicabo,Calças,493.51,2230
316,Quod,Acessórios,1772.65,4435
317,Nesciunt,Vestidos,2529.69,961
318,A,Calças,994.1,2297
319,Voluptas,Camisetas,1442.52,1361
320,Officiis,Camisetas,1542.56,977
321,Corporis,Acessórios,2524.21,406
322,Molestiae,Acessórios,928.05,3908
323,Nam,Acessórios,1830.29,964
324,Eos,Calças,2842.4,2647
325,Ipsa,Acessórios,811.42,3613
326,Quam,Acessórios,441.39,4145
327,Voluptatibus,Vestidos,2060.61,1070
328,Soluta,Calças,2576.79,3901
329,Autem,Camisetas,853.48,4170
330,Praesentium,Vestidos,1562.68,4180
331,Placeat,Acessórios,2418.81,4750
332,Ullam,Acessórios,2622.0,1731
333,Debitis,Acessórios,2394.18,80
334,Dignissimos,Camisetas,1209.08,709
335,Accusantium,Acessórios,1629.88,1702
336,Enim,Vestidos,2320.28,3213
337,Cupiditate,Vestidos,2699.68,2126
338,Consequuntur,Camisetas,235.91,1985
339,Hic,Calças,2779.8,1116
340,Laborum,Camisetas,751.22,1685
341,Repudiandae,Acessórios,832.41,1285
342,Deleniti,Acessórios,1112.92,4657
343,Quaerat,Vestidos,406.85,1204
344,Placeat,Vestidos,2551.72,2041
345,Beatae,Vestidos,2692.08,2736
346,Tempore,Vestidos,2344.58,2640
347,Non,Vestidos,1175.37,1731
348,Numquam,Calças,782.79,4927
349,Omnis,Calças,2054.18,4189
350,Facilis,Camisetas,1668.25,4319
351,Voluptatem,Calças,1572.57,2274
352,Ratione,Calças,2155.44,3441
353,Reiciendis,Vestidos,1666.83,1354
354,Exercitationem,Calças,2214.59,4223
355,Impedit,Camisetas,1208.32,4112
356,Dolor,Vestidos,106.29,4321
357,Tempora,Vestidos,2468.7,2590
358,Rem,Acessórios,1830.49,2872
359,Eveniet,Vestidos,84.75,257
360,Voluptatibus,Calças,264.22,2782
361,Tempora,Calças,1020.36,649
362,Molestiae,Camisetas,542.5,1502
363,Exercitationem,Camisetas,84.46,1588
364,Ad,Acessórios,2451.63,597
365,Quia,Camisetas,2274.33,4707
366,Quisquam,Vestidos,2095.4,3337
367,Ducimus,Camisetas,1650.01,4865
368,Ex,Acessórios,827.92,1371
369,Unde,Camisetas,313.46,600
370,Maxime,Acessórios,1067.8,2913
371,Vitae,Camisetas,2194.81,1638
372,Repellendus,Vestidos,2356.87,3228
373,Illum,Calças,1911.55,1418
374,Fugiat,Calças,1808.07,52
375,Sequi,Camisetas,2676.74,336
376,Rem,Acessórios,2255.72,456
377,Culpa,Vestidos,1096.98,4955
378,Quasi,Acessórios,1183.41,1308
379,Soluta,Vestidos,2306.67,4085
380,Perferendis,Camisetas,2092.79,502
381,Consectetur,Calças,452.2,2443
382,Sit,Calças,1976.09,3000
383,Commodi,Calças,2123.43,1112
384,Vel,Vestidos,2301.55,4109
385,Quis,Calças,2016.21,1741
386,Dicta,Acessórios,950.35,2505
387,Consequuntur,Acessórios,1294.29,1197
388,Ut,Camisetas,2014.55,970
389,A,Camisetas,2792.86,1179
390,Magni,Calças,311.46,799
391,Vitae,Camisetas,1155.24,694
392,Quo,Acessórios,2466.24,30
393,Accusamus,Vestidos,2245.57,4571
394,Magni,Calças,2334.32,2624
395,Ut,Calças,1394.98,2208
396,Aut,Acessórios,182.91,1994
397,Expedita,Calças,718.24,2858
398,Maiores,Vestidos,1609.13,3583
399,Iste,Calças,1296.05,1085
400,Impedit,Calças,221.5,2651
401,Omnis,Acessórios,2248.88,3813
402,Molestias,Acessórios,1339.17,1537
403,Quidem,Acessórios,1985.17,1681
404,Dolorum,Camisetas,2505.9,2046
405,Sit,Vestidos,1671.56,1963
406,Quod,Vestidos,2769.95,3331
407,Eveniet,Vestidos,1855.58,3126
408,In,Vestidos,262.67,382
409,Delectus,Vestidos,2518.04,4705
410,Expedita,Acessórios,1979.61,4076
411,Autem,Camisetas,1767.34,4169
412,In,Vestidos,1380.22,4675
413,Maxime,Vestidos,211.31,357
414,Culpa,Vestidos,226.71,771
415,Amet,Calças,2547.05,4387
416,Distinctio,Calças,2668.87,4810
417,Architecto,Vestidos,814.78,4346
418,Molestiae,Camisetas,1518.21,2075
419,Consequatur,Calças,2579.1,4456
420,Tempora,Acessórios,242.9,1728
421,Rerum,Camisetas,1262.47,92
422,Reprehenderit,Calças,1690.6,4694
423,Autem,Camisetas,526.36,4193
424,Quia,Camisetas,76.37,484
425,Esse,Calças,638.05,999
426,Blanditiis,Camisetas,1707.53,2827
427,Numquam,Vestidos,2119.82,170
428,Officia,Acessórios,52.54,417
429,Doloribus,Acessórios,1318.96,1779
430,Ipsa,Camisetas,1573.75,3941
431,Quibusdam,Vestidos,1973.97,1970
432,Minus,Vestidos,598.32,2132
433,Reprehenderit,Camisetas,1634.15,551
434,Fugit,Vestidos,697.64,1769
435,Voluptas,Camisetas,2072.16,2278
436,Hic,Acessórios,1759.1,84
437,Adipisci,Vestidos,2206.31,1798
438,Dignissimos,Vestidos,2845.5,253
439,Asperiores,Vestidos,1154.78,4853
440,Omnis,Calças,1683.81,518
441,Itaque,Vestidos,1275.78,1744
442,Reiciendis,Calças,1276.01,1460
443,Sit,Calças,1217.34,105
444,Quae,Camisetas,2491.33,18
445,Incidunt,Calças,137.41,1117
446,Quis,Vestidos,81.88,3890
447,Reprehenderit,Camisetas,1409.06,3493
448,Commodi,Vestidos,1064.87,3161
449,Delectus,Vestidos,249.24,1997
450,Quasi,Acessórios,783.99,4476
451,Officia,Acessórios,607.95,3382
452,Aut,Acessórios,255.77,3412
453,Non,Vestidos,1813.58,189
454,Accusantium,Camisetas,1839.21,255
455,Sunt,Vestidos,234.16,2048
456,Itaque,Calças,161.28,331
457,Cumque,Acessórios,1956.09,2217
458,Officia,Camisetas,1249.06,1816
459,Beatae,Vestidos,1721.91,3655
460,Ad,Acessórios,416.92,2174
461,Ipsa,Acessórios,1072.16,897
462,Dolor,Camisetas,2317.1,719
463,Sunt,Camisetas,2376.97,2946
464,Quis,Calças,989.07,1302
465,Nostrum,Acessórios,1011.21,446
466,Aspernatur,Calças,1369.2,115
467,Velit,Vestidos,102.19,1283
468,Doloremque,Calças,534.26,3309
469,Quisquam,Calças,2124.52,4504
470,Dolorum,Vestidos,2592.9,1798
471,Eius,Vestidos,2923.22,4041
472,Repellendus,Calças,2117.86,3066
473,Illum,Acessórios,426.49,4246
474,Exercitationem,Camisetas,2584.23,4597
475,Dolor,Vestidos,2273.38,2723
476,Nobis,Camisetas,1794.48,1864
477,Dolore,Vestidos,2267.28,828
478,Occaecati,Calças,581.43,2168
479,Doloribus,Camisetas,235.28,3066
480,Fuga,Camisetas,126.54,4095
481,Aliquam,Calças,1872.44,3723
482,Hic,Camisetas,972.97,1916
483,Molestias,Vestidos,2479.99,3558
484,Veniam,Camisetas,653.77,3467
485,Illo,Calças,1483.36,4618
486,Officia,Calças,900.82,1870
487,Alias,Camisetas,1945.77,4196
488,Pariatur,Calças,2584.67,3592
489,Esse,Camisetas,2338.67,3157
490,Pariatur,Vestidos,2014.48,453
491,Numquam,Camisetas,894.0,750
492,Quam,Acessórios,702.24,4733
493,Quasi,Camisetas,1505.73,159
494,Unde,Acessórios,2708.49,2413
495,Maxime,Calças,2966.08,1581
496,Illo,Vestidos,2584.99,714
497,Possimus,Calças,2207.5,604
498,Nemo,Vestidos,2241.49,3530
499,Repellat,Calças,547.8,1520
500,Minus,Vestidos,466.48,3757
501,Occaecati,Vestidos,1040.81,3389
502,Natus,Calças,2307.55,1042
503,Animi,Vestidos,1155.26,3109
504,Dolorum,Vestidos,2083.32,2770
505,Fuga,Calças,1716.51,454
506,Laborum,Vestidos,2268.15,1737
507,Laboriosam,Calças,261.2,1277
508,Perspiciatis,Camisetas,1044.1,1609
509,Facere,Acessórios,1258.21,1775
510,Esse,Acessórios,2817.32,747
511,Sed,Vestidos,1419.52,2413
512,Atque,Vestidos,1676.81,2700
513,Animi,Vestidos,2642.41,1349
514,Tenetur,Camisetas,824.66,4128
515,Necessitatibus,Vestidos,720.21,4711
516,Maiores,Calças,255.47,3080
517,Alias,Camisetas,55.9,4795
518,A,Camisetas,553.9,4173
519,Odit,Calças,490.08,3909
520,Et,Calças,488.65,4319
521,Aut,Acessórios,924.01,91
522,Reprehenderit,Calças,1995.51,3609
523,Nemo,Vestidos,1432.93,1091
524,Deserunt,Vestidos,794.6,2813
525,Saepe,Acessórios,1903.9,3953
526,Tempora,Acessórios,2718.83,3126
527,Dolorem,Acessórios,1391.44,3047
528,Vel,Acessórios,1453.39,1627
529,Doloribus,Vestidos,2020.43,1884
530,Nam,Calças,2550.51,3640
531,Beatae,Calças,1178.57,1896
532,Adipisci,Vestidos,1695.79,4566
533,Alias,Acessórios,2756.44,833
534,Itaque,Camisetas,2573.18,244
535,Tempora,Camisetas,901.95,4592
536,Quo,Vestidos,919.54,1169
537,Adipisci,Camisetas,1731.04,3839
538,Velit,Calças,2214.31,1604
539,Dignissimos,Calças,227.06,3179
